Make,Model,Vehicle Details ID,Vehicle Type
"Citroen","C3",664,4W
"Citroen","C3",245,4W
"Citroen","C5",284,4W
"Citroen","Citroen",713,4W
"Aprilia","Aprilia",689,2W
"Audi","Audi",717,4W
"BMW","BMW",718,4W
"Bajaj","AVENGER 160",224,2W
"Bajaj","Bajaj CT 100",690,2W
"Bajaj","Dicscover 110",171,2W
"Bajaj","Platina",169,2W
"Bajaj","Pulsar 125",174,2W
"Bajaj","PULSAR 200NS",178,2W
"Bajaj","Pulsar125",175,2W
"Chevrolet","AVEO",207,4W
"Chevrolet","AVEO",240,4W
"Chevrolet","Beat",213,4W
"Chevrolet","Chevrolet",714,4W
"Chevrolet","CRUZE",208,4W
"Chevrolet","SAIL",209,4W
"Chevrolet","SPARK",214,4W
"Datsun","Datsun",709,4W
"Ford","ECO SPORT",249,4W
"Ford","FIGO 12",51,4W
"Ford","FIGO 15",52,4W
"Ford","Ford",706,4W
"Ford","FREESTYLE",47,4W
"Ford","FREESTYLE",48,4W
"Honda","Accord",667,4W
"Honda","Amaze",281,4W
"Honda","Brio",666,4W
"Honda","Brio",698,4W
"Honda","City",234,4W
"Honda","CIVIC",58,4W
"Honda","CIVIC",59,4W
"Honda","CRV",668,4W
"Honda","HONDA",640,4W
"Honda","WRV",665,4W
"Honda","BIG WING Hness",157,2W
"Honda","BIG WING CB 350 RS",364,2W
"Honda","Aviator","152, 463",2W
"Honda","Aviator PLUS",495,2W
"Honda","C.B. Shine BS6",663,2W
"Honda","Dio 110","151, 204",2W
"Honda","DIO 125 BS6",691,2W
"Honda","Hornet","692, 448, 480",2W
"Honda","Livo","142, 445, 477, 444, 476",2W
"Honda","Navi","156, 447, 479",2W
"Honda","Shine OLD/SP","200, 202",2W
"Honda","SP 125/160","140, 437, 469, 203, 439, 471",2W
"Honda","Unicorn BS4",153,2W
"Honda","X-BLADE","449, 481",2W
"Hero","C.B.Z Extreme DUAL SEAT",132,2W
"Hero","CD DAWN",123,2W
"Hero","Glamour New",121,2W
"Hero","Passion Plus/Pro","109, 111",2W
"Hero","SPLENDOR OLD",198,2W
"Hero","Super Splendor","117, 118",2W
"Hyundai","Alcazar 6",102,4W
"Hyundai","Aura","31, 94, 12",4W
"Hyundai","Creta","18, 95, 19, 34",4W
"Hyundai","Elantra",677,4W
"Hyundai","EXTER",251,4W
"Hyundai","i10 Nios","10, 11, 30, 257",4W
"Hyundai","I20",258,4W
"Hyundai","Ioniq",678,4W
"Hyundai","Kona Electric",676,4W
"Hyundai","SANTA FE",697,4W
"Hyundai","Santro",1,4W
"Hyundai","Venue","6, 7, 27, 28, 41, 42, 60, 61, 62",4W
"ISUZU","ISUZU",715,4W
"Jawa","JAVA BS6","661, 194",2W
"Jeep","Jeep",712,4W
"KIA","KIA",702,4W
"KIA","SELTOS","9, 29, 658",4W
"MG","Gloster1",669,4W
"MG","MG",711,4W
"MG","ZS EV",103,4W
"Mahindra","Alturas",674,4W
"Mahindra","Mahindra",701,4W
"Mahindra","MARAZZO 8","45, 46",4W
"Mahindra","Rexton","84, 85, 670",4W
"Mahindra","SCR 7","81, 82, 83",4W
"Mahindra","Thar",219,4W
"Mahindra","XUV 300","40, 39, 5, 38, 4, 26, 3",4W
"Mahindra","Xuv 400",672,4W
"Mercedes-Benz","Mercedes-Benz",716,4W
"Nissan","MAGNITE",74,4W
"Nissan","Nissan",707,4W
"Ola","S1 Classic",696,2W
"PIAGGIO","Aprilia SXR 160",504,2W
"Renault","DUSTER",232,4W
"Renault","KIGER",76,4W
"Renault","Renault",704,4W
"Renault","TRIBER",64,4W
"Skoda","Skoda",710,4W
"Suzuki","ACCESS OLD",227,2W
"Suzuki","GIXXER BS4/BS6","192, 193",2W
"TATA","Altroz","13, 14",4W
"TATA","HARRIER","56, 57",4W
"TATA","HEXA","71, 72, 73",4W
"TATA","Nexon1","105, 671",4W
"TATA","PUNCH",77,4W
"TATA","SAFARI 211",100,4W
"TATA","TATA",703,4W
"TATA","TIAGO-1","66, 67",4W
"TATA","Tigor","16, 17, 33",4W
"TATA","TIGOR211","69, 70",4W
"TATA","Zest",699,4W
"TVS","Apache 160 / 4V","163, 164",2W
"TVS","I QUBE",693,2W
"TVS","Jupiter 110/125","166, 226, 167",2W
"TVS","PEP+",695,2W
"TVS","RAIDER BS6",168,2W
"Toyota","Altis",679,4W
"Toyota","Camry",686,4W
"Toyota","COROLA",683,4W
"Toyota","Etios",685,4W
"Toyota","Glanza","37, 25, 24, 36, 87, 88, 86",4W
"Toyota","Innova / Crysta","681, 89, 90",4W
"Toyota","LAND CRUSER ZX",682,4W
"Toyota","Toyota",705,4W
"Toyota","VELFIRE",684,4W
"Toyota","Yaris",680,4W
"VW","Polo","108, 106",4W
"VW","VW",708,4W
"Yamaha","AEROX",688,2W
"Yamaha","FZ-X SINGLE",182,2W
"Yamaha","MT 15 V1 V2",694,2W
"Yamaha","NEW FZ DUAL SEAT",225,2W
"Yamaha","R15-V4 DUAL",183,2W